customer_id,recency_days,frequency,monetary_value,tenure_month,visits_per_month
CUST00059,54,12,1925044,8,5.0
CUST00060,81,4,781377,9,1.5
CUST00061,80,11,2087451,22,3.4
CUST00062,129,2,500725,5,2.2
CUST00063,10,18,2777852,59,8.0
CUST00064,21,7,1351584,11,5.2
CUST00065,121,3,437243,16,1.2
CUST00066,8,34,3743602,27,10.1
CUST00067,114,10,1374809,22,0.4
CUST00068,159,12,1995597,42,1.6
CUST00069,111,24,1001805,24,0.3
CUST00070,42,15,1685375,20,3.2
CUST00071,89,14,2089579,34,1.7
CUST00072,9,19,3988124,27,7.4
CUST00073,37,10,2543155,13,3.5
CUST00074,30,9,1412124,16,0.1
CUST00075,116,8,400705,3,2.8
CUST00076,30,13,1331959,29,5.7
CUST00077,13,27,2780478,37,10.4
CUST00078,26,13,1557776,32,4.2
CUST00079,50,13,2040631,30,6.4
CUST00080,50,8,1923958,33,3.2
CUST00081,13,20,3248147,48,8.0
CUST00082,82,15,1524345,15,3.0
CUST00083,16,10,1592740,17,4.8
CUST00084,98,4,467635,10,1.3
CUST00085,111,4,512747,5,1.6
CUST00086,19,15,992300,7,1.9
CUST00087,52,10,1298788,35,4.1
CUST00088,72,6,400474,12,2.4
CUST00089,55,13,1569635,31,0.9
CUST00090,180,3,476032,14,1.5
CUST00091,115,12,981583,22,2.5
CUST00092,57,14,1782146,50,1.0
CUST00093,9,28,4084799,35,8.2
CUST00094,104,15,1650706,57,2.1
CUST00095,51,14,786634,18,5.4
CUST00096,20,11,1225014,14,2.6
CUST00097,117,1,664139,13,1.7
CUST00098,90,2,457871,16,0.2
CUST00099,7,30,2270304,70,3.9
CUST00100,89,4,529433,3,0.7
CUST00101,3,27,3075515,34,5.9
CUST00102,23,8,1368746,30,2.2
CUST00103,110,18,3174475,54,2.8
CUST00104,31,5,740550,28,5.4
CUST00105,98,2,350382,3,0.1
CUST00106,125,2,330035,9,1.6
CUST00107,78,16,1784534,36,1.3
CUST00108,96,6,361072,19,2.8
CUST00109,10,26,3621196,43,10.0
CUST00110,23,8,1686959,21,5.2
CUST00111,45,15,1134041,35,5.7
CUST00112,10,23,4385279,40,7.7
CUST00113,36,10,2121189,23,6.8
CUST00114,146,5,417944,1,0.8
CUST00115,75,11,1920932,34,2.4
CUST00116,87,14,2241862,27,1.9
CUST00117,11,30,2940554,56,6.1
CUST00118,15,30,3260465,26,11.0
CUST00119,97,7,418522,7,2.3
CUST00120,3,29,3553082,60,10.7
CUST00121,5,19,3405706,57,8.1
CUST00122,149,8,385148,1,1.2
CUST00123,4,30,3585678,26,7.0
CUST00124,61,4,670162,3,0.3
CUST00125,124,12,1188745,17,1.5
CUST00126,12,24,1866599,22,8.9
CUST00127,27,8,1199354,11,4.3
CUST00128,108,2,338664,1,0.1
CUST00129,100,13,1854613,30,2.5
CUST00130,23,8,2419026,11,4.7
CUST00131,11,26,4015793,42,4.5
CUST00132,50,15,1348774,57,2.0
CUST00133,75,23,2068375,21,1.8
CUST00134,3,26,4211916,47,9.2
CUST00135,14,16,1228832,35,3.8
CUST00136,55,4,467200,17,0.1
CUST00137,145,13,1306485,32,0.4
CUST00138,6,25,2847395,64,12.1
CUST00139,109,4,624770,16,0.8
CUST00140,107,17,1301153,24,3.0
CUST00141,23,10,1146079,29,4.9
CUST00142,12,28,3573426,59,7.3
CUST00143,2,33,4436913,65,7.0
CUST00144,24,16,1951855,27,3.7
CUST00145,152,6,2106210,22,1.8
CUST00146,9,31,4963771,36,9.0
CUST00147,7,23,2925729,43,8.2
CUST00148,14,10,1551157,7,4.5
CUST00149,3,25,2484612,25,9.4
CUST00150,5,37,3192983,38,7.2
CUST00151,18,26,2446147,32,7.0
CUST00152,53,9,1290017,19,3.7
CUST00153,124,5,537215,18,1.8
CUST00154,32,8,968556,18,7.1
CUST00155,6,21,3445378,46,9.2
CUST00156,57,8,1276441,6,3.0
CUST00157,95,5,394838,21,1.6
CUST00158,114,11,1244161,53,1.3
CUST00159,100,14,1250076,21,0.5
CUST00160,3,27,4092178,67,7.4
CUST00161,5,27,3043475,31,11.0
CUST00162,65,12,1816169,36,2.7
CUST00163,76,16,624214,16,0.7
CUST00164,38,16,1639861,16,5.0
CUST00165,113,2,487136,9,1.1
CUST00166,81,20,1576757,23,3.7
CUST00167,149,6,724965,21,2.5
CUST00168,104,10,2249099,26,2.0
CUST00169,5,27,4083481,53,6.4
CUST00170,16,10,1699292,17,1.9
CUST00171,38,7,1709636,29,6.8
CUST00172,12,28,4741160,70,9.5
CUST00173,101,18,1187020,59,2.4
CUST00174,2,23,2965168,41,7.0
CUST00175,70,6,663146,23,2.2
CUST00176,4,23,2599734,45,10.8
CUST00177,37,13,1322252,15,5.4
CUST00178,28,10,1150591,10,7.3
CUST00179,6,31,3307204,71,7.1
CUST00180,31,15,1875172,7,2.4
CUST00181,10,16,1579728,15,3.5
CUST00182,29,11,972903,28,2.2
CUST00183,116,4,617379,16,1.0
CUST00184,2,25,3254944,27,11.5
CUST00185,22,25,4332674,65,10.6
CUST00186,24,17,1186619,11,7.7
CUST00187,39,12,1124366,16,3.3
CUST00188,5,34,3656097,47,7.5
CUST00189,72,14,1636809,59,2.4
CUST00190,71,12,100000,33,1.8
CUST00191,3,24,3198990,60,9.5
CUST00192,30,15,1360680,14,2.9
CUST00193,4,23,3975123,63,9.6
CUST00194,39,15,1987497,10,3.7
CUST00195,40,9,1419688,14,2.3
CUST00196,36,13,1199345,10,1.7
CUST00197,84,9,2478450,26,2.9
CUST00198,29,14,1760897,9,4.4
CUST00199,99,3,686200,14,0.1
CUST00200,108,5,581963,16,2.2
CUST00201,103,3,482268,1,0.2
CUST00202,11,27,4017692,18,10.6
CUST00203,170,3,605463,2,0.2
CUST00204,72,16,1500953,55,2.5
CUST00205,111,4,374831,3,1.3
CUST00206,61,10,1919435,25,6.4
CUST00207,143,5,191977,23,1.3
CUST00208,106,4,384950,4,1.8
CUST00209,119,6,530701,6,2.3
CUST00210,10,27,2749285,23,8.6
CUST00211,80,18,1048687,12,3.1
CUST00212,75,14,2204522,38,1.6
CUST00213,23,7,1264944,29,5.9
CUST00214,65,5,392420,21,2.5
CUST00215,5,25,4715491,48,6.6
CUST00216,105,16,911965,52,1.8
CUST00217,67,14,1148495,26,2.5
CUST00218,146,3,433282,19,1.7
CUST00219,69,5,551763,18,2.5
CUST00220,6,29,3838075,37,6.1
CUST00221,30,19,1936751,25,1.9
CUST00222,2,25,3243746,40,10.2
CUST00223,131,6,262897,20,1.6
CUST00224,20,32,3303251,38,12.6
CUST00225,55,11,1285770,20,0.3
CUST00226,47,16,1463337,15,4.7
CUST00227,17,10,2054304,18,3.9
CUST00228,14,26,3900392,20,7.2
CUST00229,118,4,279843,9,2.7
CUST00230,99,9,1312214,59,2.4
CUST00231,141,8,684393,8,1.3
CUST00232,4,24,3664717,54,7.5
CUST00233,65,8,758626,13,1.7
CUST00234,9,29,2682576,65,9.4
CUST00235,107,11,1733561,43,1.4
CUST00236,94,5,557909,8,1.1
CUST00237,41,14,1614661,34,4.1
CUST00238,20,11,1593005,17,2.1
CUST00239,93,3,604760,18,1.8
CUST00240,29,11,1494353,33,1.1
CUST00241,87,17,2698682,46,2.4
CUST00242,32,11,1818427,27,2.9
CUST00243,75,16,1809171,34,2.5
CUST00244,79,16,1945075,32,0.7
CUST00245,3,24,4304075,32,5.5
CUST00246,67,4,557352,4,2.0
CUST00247,96,11,1164759,35,5.4
CUST00248,112,7,661132,22,2.7
CUST00249,39,14,1504599,15,5.0
CUST00250,59,14,1889065,32,2.5
CUST00251,92,18,1665356,39,1.6
CUST00252,4,27,3799020,37,7.8
CUST00253,146,3,223470,22,1.5
CUST00254,43,12,1058919,17,3.7
CUST00255,1,28,3686733,69,9.2
CUST00256,87,3,404587,16,1.0
CUST00257,70,2,461618,10,1.3
CUST00258,129,17,1361285,43,0.2
CUST00259,117,4,462793,12,2.2
CUST00260,36,9,1574950,28,3.5
CUST00261,141,17,1997575,26,2.5
CUST00262,5,21,3728901,51,4.0
CUST00263,16,26,3708753,28,7.2
CUST00264,85,4,352192,23,0.1
CUST00265,96,8,1383773,20,2.6
CUST00266,26,12,1759683,17,5.8
CUST00267,96,13,1420163,53,2.4
CUST00268,47,12,1178490,21,4.9
CUST00269,121,13,1864418,51,4.1
CUST00270,151,4,301194,11,0.7
CUST00271,25,13,1305081,27,4.8
CUST00272,6,27,3111560,24,5.6
CUST00273,12,24,2931204,30,9.4
CUST00274,127,9,2157144,52,2.8
CUST00275,50,12,1825841,19,4.8
CUST00276,11,29,4282847,54,8.3
CUST00277,10,10,1280362,21,3.7
CUST00278,94,13,1183160,40,2.0
CUST00279,6,30,3372520,22,11.5
CUST00280,91,6,492666,17,0.1
CUST00281,3,34,4265591,69,9.0
CUST00282,153,12,2266579,33,2.7
CUST00283,27,8,1389943,12,4.0
CUST00284,8,32,3604603,46,8.7
CUST00285,81,11,1988243,16,3.1
CUST00286,34,12,979950,6,1.9
CUST00287,130,4,484752,18,1.6
CUST00288,38,13,1089466,34,3.9
CUST00289,13,29,2954266,18,7.0
CUST00290,5,23,3406360,69,7.3
CUST00291,9,26,4074125,63,13.3
CUST00292,32,21,3294560,19,9.7
CUST00293,2,28,2952210,40,9.0
CUST00294,4,27,4713691,53,6.5
CUST00295,67,11,2170863,46,3.3
CUST00296,18,36,3487478,71,6.8
CUST00297,11,8,1399703,25,3.9
CUST00298,23,19,3702794,63,7.0
CUST00299,16,29,3038425,40,5.5
CUST00300,68,4,710402,18,0.5
CUST00301,90,15,1337218,30,2.8
CUST00302,20,8,1505056,9,2.7
CUST00303,2,21,3551344,24,10.5
CUST00304,136,12,1515204,29,2.3
CUST00305,11,22,3600792,64,10.8
CUST00306,24,9,1229692,6,4.0
CUST00307,52,13,1468611,34,3.1
CUST00308,63,15,2140782,41,2.7
CUST00309,83,15,1292816,30,0.9
CUST00310,113,2,561214,11,0.6
CUST00311,30,14,1211710,15,2.9
CUST00312,98,8,2004692,57,2.0
CUST00313,91,10,1828012,56,1.8
CUST00314,97,15,914716,20,1.6
CUST00315,129,1,678998,19,1.7
CUST00316,7,34,3462411,24,9.5
CUST00317,20,12,932460,12,2.9
CUST00318,36,9,1945541,31,1.2
CUST00319,28,10,1911796,9,3.6
CUST00320,78,12,1620938,45,2.0
CUST00321,5,21,3562599,60,7.3
CUST00322,92,6,459756,22,1.7
CUST00323,38,11,2009217,11,4.3
CUST00324,110,2,629063,18,2.0
CUST00325,10,21,2948403,25,6.1
CUST00326,36,17,1254261,18,5.6
CUST00327,3,24,3668112,40,6.2
CUST00328,2,32,4303912,30,8.4
CUST00329,124,17,1620729,32,1.0
CUST00330,40,7,2492459,15,3.2
CUST00331,129,11,2049142,53,3.5
CUST00332,41,13,1489933,27,4.4
CUST00333,9,38,2747578,52,9.2
CUST00334,91,3,483000,5,1.0
CUST00335,3,32,3506474,58,10.8
CUST00336,85,13,1610510,41,2.1
CUST00337,7,23,2686974,41,6.2
CUST00338,73,4,575762,2,0.1
CUST00339,19,18,3238179,21,7.8
CUST00340,61,9,1019018,32,4.5
CUST00341,81,16,2009843,56,3.0
CUST00342,18,11,1068067,19,3.5
CUST00343,51,6,663762,13,0.9
CUST00344,140,3,678080,15,1.6
CUST00345,4,31,3125494,29,9.0
CUST00346,60,14,1885151,38,0.1
CUST00347,167,14,1599757,44,0.7
CUST00348,12,22,2243954,22,10.2
CUST00349,43,11,1738877,7,4.9
CUST00350,47,11,1596283,24,3.6
CUST00351,163,4,470186,18,2.6
CUST00352,8,33,2397304,19,8.0
CUST00353,49,10,1267683,31,1.5
CUST00354,63,6,560795,3,1.9
CUST00355,180,5,702393,22,1.4
CUST00356,15,26,3526396,66,6.9
CUST00357,139,12,1957494,24,1.5
CUST00358,5,22,3268771,25,8.7
CUST00359,86,11,1825275,25,0.9
CUST00360,25,12,1120286,12,3.0
CUST00361,15,36,2907579,57,7.7
CUST00362,180,5,608590,14,1.7
CUST00363,131,12,645855,33,1.7
CUST00364,83,4,637683,8,1.4
CUST00365,81,14,2153419,16,1.3
CUST00366,41,9,1419897,33,3.5
CUST00367,20,30,3782749,34,12.0
CUST00368,14,30,2920533,71,8.3
CUST00369,67,7,955843,26,5.5
CUST00370,25,10,1594022,14,3.0
CUST00371,32,11,1757709,23,5.7
CUST00372,27,14,1706859,19,2.5
CUST00373,64,11,1266207,10,5.2
CUST00374,4,20,3005464,50,7.8
CUST00375,40,12,1146899,13,2.0
CUST00376,54,9,1396887,21,2.7
CUST00377,65,9,1756174,35,7.0
CUST00378,128,12,1461310,38,3.2
CUST00379,4,37,3525756,69,7.0
CUST00380,76,5,685854,20,2.1
CUST00381,127,3,575486,6,1.6
CUST00382,40,8,1567057,33,2.8
CUST00383,14,6,956328,25,4.0
CUST00384,71,18,1694131,47,0.8
CUST00385,31,8,1356984,35,5.7
CUST00386,90,6,305712,21,3.1
CUST00387,88,8,1871184,30,1.5
CUST00388,42,16,1168133,29,0.1
CUST00389,87,16,2166310,32,1.9
CUST00390,180,5,317254,23,1.3
CUST00391,48,10,1592982,12,3.5
CUST00392,123,1,479205,7,0.9
CUST00393,28,11,987907,20,5.2
CUST00394,152,4,414996,9,2.2
CUST00395,50,13,1497603,29,1.3
CUST00396,80,13,803136,30,2.1
CUST00397,22,10,1799800,15,4.9
CUST00398,10,27,2368626,22,8.1
CUST00399,25,10,794207,12,5.1
CUST00400,128,21,1247088,16,3.3
CUST00401,103,15,2142336,25,0.6
CUST00402,31,7,1147485,12,4.0
CUST00403,31,8,1507351,10,2.5
CUST00404,70,9,1847566,32,5.5
CUST00405,67,13,1934628,13,1.3
CUST00406,6,28,3546790,50,5.6
CUST00407,76,12,2418615,55,1.8
CUST00408,100,13,1569180,52,2.3
CUST00409,10,31,4487713,65,10.3
CUST00410,46,16,1397163,12,2.3
CUST00411,180,7,657263,15,1.9
CUST00412,144,14,2066632,42,0.1
CUST00413,97,12,1345048,36,0.8
CUST00414,76,11,1065619,12,3.3
CUST00415,35,11,1905588,30,2.9
CUST00416,6,24,3284222,36,7.2
CUST00417,61,11,1545980,34,5.8
CUST00418,148,2,315583,18,1.2
CUST00419,124,1,582149,3,2.1
CUST00420,12,23,4001963,69,7.4
CUST00421,113,7,573794,2,1.3
CUST00422,87,13,1119302,56,1.9
CUST00423,70,15,1733945,34,1.5
CUST00424,47,15,2038566,27,0.8
CUST00425,71,15,1618303,26,2.9
CUST00426,110,16,702205,30,0.4
CUST00427,10,26,3345666,53,8.9
CUST00428,132,13,1440209,19,2.4
CUST00429,18,10,1363600,15,2.1
CUST00430,33,9,1390599,7,5.4
CUST00431,31,12,1661310,34,6.3
CUST00432,75,13,1811747,55,2.8
CUST00433,131,6,501480,14,2.7
CUST00434,29,14,1019558,29,5.3
CUST00435,23,14,1600635,8,4.2
CUST00436,83,12,1435761,16,0.8
CUST00437,145,9,1643928,27,1.2
CUST00438,7,31,4136996,52,9.2
CUST00439,15,31,3032812,62,10.4
CUST00440,33,14,1351624,16,5.3
CUST00441,4,25,4082736,54,9.4
CUST00442,107,4,441213,12,0.4
CUST00443,20,31,4153635,31,7.6
CUST00444,80,3,683283,1,2.0
CUST00445,141,12,2251482,56,0.1
CUST00446,98,10,1173147,20,2.7
CUST00447,8,22,3272376,24,10.0
CUST00448,3,20,3216399,53,5.3
CUST00449,40,11,1983655,7,1.6
CUST00450,51,3,500002,14,1.5
CUST00451,48,15,1169815,32,4.3
CUST00452,14,9,2009933,27,1.8
CUST00453,21,15,1958823,8,1.3
CUST00454,8,19,2758672,51,10.2
CUST00455,71,20,1949983,58,1.0
CUST00456,83,5,278103,22,0.2
CUST00457,30,11,2077331,10,4.5
CUST00458,85,2,355464,9,3.0
CUST00459,24,9,1344050,24,5.2
CUST00460,39,10,1408315,15,1.9
CUST00461,21,9,1171786,7,6.2
CUST00462,36,8,2309033,7,4.4
CUST00463,59,16,1699595,45,3.4
CUST00464,149,6,537830,3,0.6
CUST00465,72,19,1200500,49,2.4
CUST00466,6,24,3348402,35,7.1
CUST00467,37,13,2385070,22,1.8
CUST00468,14,8,1570020,9,4.1
CUST00469,10,20,3471221,49,9.4
CUST00470,35,10,1383082,35,3.6
CUST00471,7,30,3201891,20,8.9
CUST00472,3,29,2784535,21,8.8
CUST00473,119,3,623281,23,2.7
CUST00474,84,8,543055,21,2.0
CUST00475,120,6,444368,21,1.2
CUST00476,1,25,3382246,64,5.2
CUST00477,3,26,3241619,33,9.6
CUST00478,9,27,4665396,57,3.5
CUST00479,22,28,4039230,61,11.1
CUST00480,9,26,4676204,31,3.5
CUST00481,103,15,2842651,26,2.2
CUST00482,93,14,1331237,23,3.4
CUST00483,2,22,3693338,25,9.1
CUST00484,53,7,1898625,18,5.0
CUST00485,71,14,2506259,43,2.4
CUST00486,180,4,556551,3,1.3
CUST00487,32,8,1292498,20,6.3
CUST00488,36,14,1365736,9,3.8
CUST00489,25,13,1813209,12,4.0
CUST00490,150,4,649660,11,1.3
CUST00491,122,2,562387,1,0.5
CUST00492,26,9,504326,33,5.9
CUST00493,112,19,2273816,36,2.8
CUST00494,4,24,3524174,69,8.1
CUST00495,80,3,675189,20,2.0
CUST00496,139,12,730329,20,1.5
CUST00497,8,30,2321047,69,7.6
CUST00498,38,8,574474,23,5.0
CUST00499,82,3,445789,1,2.9
CUST00500,53,11,2301488,13,5.3
CUST00501,92,12,2026251,45,0.1
CUST00502,37,13,1164158,32,1.1
CUST00503,31,9,738297,6,0.4
CUST00504,91,8,2581589,38,3.7
CUST00505,17,34,2425677,44,4.8
CUST00506,106,13,1391607,55,1.4
CUST00507,11,26,3741819,45,7.4
CUST00508,28,13,1540806,19,3.9
CUST00509,24,8,1294111,24,5.8
CUST00510,27,11,1775052,20,4.4
CUST00511,9,32,4792252,22,6.4
CUST00512,19,12,1480503,12,3.1
CUST00513,18,9,483809,27,3.5
CUST00514,104,13,2340233,24,3.2
CUST00515,68,17,1581278,20,2.7
CUST00516,138,2,100000,12,2.4
CUST00517,96,19,1603004,51,2.5
CUST00518,66,14,2040503,12,1.7
CUST00519,42,10,802453,14,5.5
CUST00520,3,26,2848667,27,7.9
CUST00521,111,4,634145,10,2.1
CUST00522,50,11,1709063,8,2.5
CUST00523,4,22,4210370,44,5.9
CUST00524,176,16,1306592,56,2.1
CUST00525,63,15,1821843,43,1.1
CUST00526,43,21,1099698,26,2.8
CUST00527,170,4,276431,14,0.1
CUST00528,180,5,324145,19,1.9
CUST00529,116,10,1864793,30,2.7
CUST00530,32,13,1588854,35,4.3
CUST00531,73,5,434891,2,2.6
CUST00532,10,25,3237382,63,8.2
CUST00533,13,31,3447937,43,5.3
CUST00534,51,11,1531081,7,3.8
CUST00535,5,33,2925582,61,9.8
CUST00536,18,32,3835790,31,7.5
CUST00537,56,14,1405315,9,4.3
CUST00538,135,3,311557,8,1.0
CUST00539,29,14,1033726,29,2.5
CUST00540,124,12,2212511,57,3.4
CUST00541,146,4,509486,6,0.2
CUST00542,77,5,319213,18,2.1
CUST00543,88,15,1742625,54,0.8
CUST00544,12,22,4419905,25,7.4
CUST00545,22,35,4426218,43,7.9
CUST00546,98,14,2281963,44,0.5
CUST00547,86,12,2227468,15,3.2
CUST00548,10,25,3461126,64,4.4
CUST00549,94,1,673492,14,1.4
CUST00550,14,23,3719337,52,8.4
CUST00551,5,31,3687056,36,9.1
CUST00552,11,27,3526629,55,7.6
CUST00553,41,12,1537083,9,4.4
CUST00554,24,12,1959383,16,2.7
CUST00555,165,12,1819077,49,3.0
CUST00556,13,12,1716988,25,3.6
CUST00557,6,30,2448913,26,9.8
CUST00558,36,10,745146,14,6.3
CUST00559,1,33,2950687,52,9.4
CUST00560,3,24,3065187,71,8.8
CUST00561,24,9,1092556,12,2.3
CUST00562,16,21,1246524,16,4.0
CUST00563,4,20,2282233,27,4.6
CUST00564,54,13,2463688,17,1.7
CUST00565,10,23,3238351,22,4.9
CUST00566,110,4,332980,11,0.8
CUST00567,48,7,1736413,20,1.6
CUST00568,10,25,2839623,19,9.5
CUST00569,25,9,1458717,13,5.9
CUST00570,3,33,3019078,61,6.9
CUST00571,34,12,1307252,16,3.9
CUST00572,7,25,4585469,33,3.8
CUST00573,132,3,466553,7,0.1
CUST00574,66,12,1167852,12,4.1
CUST00575,131,14,2274199,21,2.9
CUST00576,37,12,1833693,25,4.3
CUST00577,3,26,3562001,32,5.5
CUST00578,89,1,429776,23,1.1
CUST00579,76,7,302947,7,2.1
CUST00580,78,18,2029466,39,1.0
CUST00581,5,27,3236105,62,9.6
CUST00582,66,2,657278,22,2.9
CUST00583,91,21,1748742,14,1.9
CUST00584,48,16,1458895,22,3.8
CUST00585,24,12,1989995,10,4.3
CUST00586,47,5,341858,12,0.1
CUST00587,11,22,3309320,71,5.9
CUST00588,84,15,2386171,58,1.4
CUST00589,102,2,423239,21,2.5
CUST00590,71,9,1679534,53,2.4
CUST00591,48,10,2349386,11,4.0
CUST00592,34,11,1194762,30,4.8
CUST00593,7,33,2792099,26,8.8
CUST00594,35,13,1531825,27,5.6
CUST00595,72,3,467704,21,1.9
CUST00596,84,17,1515782,56,3.0
CUST00597,21,22,3057333,36,5.2
CUST00598,4,27,4555786,44,8.0
CUST00599,5,28,4202512,53,9.5
CUST00600,43,12,2197578,22,4.1
